pdf_page,observed_folio,image,image_sha256,baseline_status,secure_baselines
111,,ledger-images/page-111.jpg,7a4658061dc0f8defa71e783ca8dacbf80fbcda3f18ca13d58c08858421d6790,unsegmented,0
112,,ledger-images/page-112.jpg,55caaae3838099fb9c10d264de10e222a129011b0cda6bbdd68a0ab73cbf52b8,unsegmented,0
113,,ledger-images/page-113.jpg,e7f5c5bcfb052a241b9a299a0984a0ea3aee794947f59de322e7541806013d52,unsegmented,0
114,,ledger-images/page-114.jpg,a060cbdbbd28ad611885878c03751a8e63bc8a9ff063d95e6cc5639a6f76f6d5,unsegmented,0
115,,ledger-images/page-115.jpg,4d1148b39a39bf79b128f56c5d12fbc1f7caec3eb624333fb618cb862c4bd1e7,unsegmented,0
116,,ledger-images/page-116.jpg,bd8f062314ab0d654cc250ceb1fd34dd04b53927e9204b5429588bff73c0d48d,unsegmented,0
117,,ledger-images/page-117.jpg,1514200af68e618aa4dc76fa3e12ab0e667d78dddbe51a640fc6b529f56b328e,unsegmented,0
118,,ledger-images/page-118.jpg,c8d7a32df70e967cfc75905e96f59ade320c2840759bfb9e49acfdc56c4ff890,unsegmented,0
119,,ledger-images/page-119.jpg,da558bf12993a5424ca96f54f7cef22a3c1949d57991383383dc4bf940c417ae,unsegmented,0
120,,ledger-images/page-120.jpg,7df471eb49644227bdf6d66252ae842c5e59550b9768ead39561896345d67d9b,unsegmented,0
121,,ledger-images/page-121.jpg,3c95c58e46e714f4928207c5a2c19d71cd520d421ab462a71e8fe3e0599d0732,unsegmented,0
122,,ledger-images/page-122.jpg,8d16756288706e23cfb930d4bdc90cf307770f3f1894233587592815df4727b6,unsegmented,0
123,,ledger-images/page-123.jpg,96bf3a269cfbcde8adb77e99bac75a93435a929cc78dd488a9987719c799af2c,unsegmented,0
124,,ledger-images/page-124.jpg,d424b301cba738ac6e09ab2740bcff835ad78c9b1f6d3424292bd923a47877c2,unsegmented,0
125,,ledger-images/page-125.jpg,299badbda6eaa774dc6a102930e7eb9414beb42746cc78651a3c3fee4d51ee02,unsegmented,0
126,,ledger-images/page-126.jpg,721ed89d360cbbb31184743b02f701068f0985274cf7266cfa45cecb469446fc,unsegmented,0
127,,ledger-images/page-127.jpg,81d0db2ce8303ea0b3dae8be3071215be338c81cb5d8bfb9ae65c23978faa160,unsegmented,0
128,,ledger-images/page-128.jpg,4919bd9399fad2259e25910eb12c27a582d1aa899ca64780f69fe70b9d416e5a,unsegmented,0
129,,ledger-images/page-129.jpg,9c0ebe9a32fa171a2f3bcb38fef2b4d648a058ac6baf2ea8262a7bc410bb8dac,unsegmented,0
130,,ledger-images/page-130.jpg,7d791b50965545dbeac7a939cfe242f50f00675b3b9133054a95d06f3f5cf3f3,unsegmented,0
131,,ledger-images/page-131.jpg,13913666ea696c2861634e7bd6a4e2698ec2842ce46e7581aa9bcde66b110ebf,unsegmented,0
132,,ledger-images/page-132.jpg,623fb0580639609c97c2628558538c6662dac46c2b085c7da291e44b68b9e5dc,unsegmented,0
133,,ledger-images/page-133.jpg,7062b43f7c864cfd36c517df31ea8cae5989976502db8b1ceeaa9c5672d39104,unsegmented,0
134,,ledger-images/page-134.jpg,33ac2d11e9508fcd9de0980e9fd25b26fd73b2fdc825fdb3dedb04cf213e7cdb,unsegmented,0
135,,ledger-images/page-135.jpg,b47c1fa57e0a544090dd3ee30b7de675c6bf812b91d08c8b23a4be4107227ea8,unsegmented,0
136,,ledger-images/page-136.jpg,e4cf72dd67d140f3961db0a79d84d0e96434e9baefdd0f6c5441418818de32e0,unsegmented,0
137,,ledger-images/page-137.jpg,e2c40d231a9a423239f167fdf639b99c0b4c2970864c9d33f883d26279288f2c,unsegmented,0
138,,ledger-images/page-138.jpg,6d778469c6793b5d7517a1399e5da243fce67146d4e2664303821f5cb15048ba,unsegmented,0
139,,ledger-images/page-139.jpg,ce14da8e8660fcedc4a9413916b6470308a08c5f7692e7d896107872d836a3b2,unsegmented,0
140,,ledger-images/page-140.jpg,d25e3d2e0d8167ab4427798c97778ae18a979364ae4599b9202bbae4292623a0,unsegmented,0
141,,ledger-images/page-141.jpg,fcbb81f070671a7e0585c9827313e5cf57aac52069526ff907845861f92feff9,unsegmented,0
142,,ledger-images/page-142.jpg,802163c53f0b06af298357b6ef5516b1269122a628aeed9a8690e3b0ca1894c5,unsegmented,0
143,,ledger-images/page-143.jpg,09241413220ec8a8f5b10d05eace49c44cb51c516ec84a4d39103f34ebd2abf4,unsegmented,0
144,,ledger-images/page-144.jpg,a07d922c685d66d0b6a96298f7f3afd31da54ef4388851f568efb938decf39d7,unsegmented,0
145,,ledger-images/page-145.jpg,1340419d317febbae330aacb1e32f3b9a15db1524c12bd9fd48ffca040c73efe,unsegmented,0
146,,ledger-images/page-146.jpg,55a9893ebd31d3404b6a8141c6fe9352a6c7147d198cfb3911cc49ec33e333c0,unsegmented,0
147,,ledger-images/page-147.jpg,8c3e005fd8b2ac09745a71337538d70766cb5a0cd45df9e004d4a4edb5ab5b56,unsegmented,0
148,,ledger-images/page-148.jpg,6f64501cb3d9c1f53108e5f5b42db61c6a6a298dbd41ee95ff9fdac5c9b38e77,unsegmented,0
149,,ledger-images/page-149.jpg,b6709b8603b0b423414ac859be4131fb828f54bc9bf0b0ea915518844cdd5e83,unsegmented,0
150,,ledger-images/page-150.jpg,65f43491259f557bda85ceef9a82da0d44e9cfd01f29021cbf6fd29c942b41a0,unsegmented,0
151,,ledger-images/page-151.jpg,8e85a6bf256bca7dbdf89270b731c632b9f8e03cc98dc2b4f63cafc87f30c599,unsegmented,0
152,,ledger-images/page-152.jpg,591d0983a88bf02a02a63dd32010730d435949180d21f2eab710286aa39fee9a,unsegmented,0
153,,ledger-images/page-153.jpg,920f370a1eaa4f858658f203ee84c2de22582379f2cf1d1dfe49ce6465ff4671,unsegmented,0
154,,ledger-images/page-154.jpg,86db05feecb39cbe0f10b6f783c2da4b8770d0f43ca4c5d2734183e08a55c6a7,unsegmented,0
155,,ledger-images/page-155.jpg,5525fb039bfbf7d4cf0c164e63f4b356e50e31df8b852a213d72d7fe3f9e0d68,unsegmented,0
156,,ledger-images/page-156.jpg,e908a15cc9f8c823ff84a3fa30a69966a0daa4577714499de7d1127790bfecfc,unsegmented,0
157,,ledger-images/page-157.jpg,ee70a36d5b6a2affedf73a31e9cb5e8e76b6a3a5a607b91864c7e49b9b513770,unsegmented,0
158,,ledger-images/page-158.jpg,55f9e3e363f3fa9fece4c66e166708d5ddf4b68947766ab31aeca88d3f61bec9,unsegmented,0
159,,ledger-images/page-159.jpg,42d823b52ad7d91b45163df7fb7ce97b03bf079894e57df275acc98b418f47f4,unsegmented,0
160,,ledger-images/page-160.jpg,59555d9c2f2d4f0a533dc4c2d4a897432e3b2ea93385a9772eb3feb7911c707d,unsegmented,0
161,,ledger-images/page-161.jpg,97c3219c983918be9c7c452eacd5669879481640707f443fb491abceec370f59,unsegmented,0
162,,ledger-images/page-162.jpg,e8990b6a643a5410a31f935b5d5401f5bde1c15587f2f89d5a084c9326f5f56e,unsegmented,0
163,,ledger-images/page-163.jpg,31a99dc5aa87c4e5384d239fc0c3822e9597771295c8120f1c7787a078f8f6ea,unsegmented,0
